lat,long,name,stand_count,overall_canopy_size,canopy_size (cm2/seedlings)
36.4119,-89.6963,DJI_0151.JPG_1_4_36.4119_-89.6963.tiff,10.881638,310.27,28.51317
36.4119,-89.6963,DJI_0151.JPG_1_5_36.4119_-89.6963.tiff,13.407416,404.47162,30.167753
36.4119,-89.6963,DJI_0151.JPG_1_6_36.4119_-89.6963.tiff,13.352298,370.20093,27.725634
36.4119,-89.6963,DJI_0151.JPG_1_7_36.4119_-89.6963.tiff,9.746865,196.34218,20.144136
36.4119,-89.6963,DJI_0151.JPG_1_8_36.4119_-89.6963.tiff,11.453214,269.1801,23.502584
36.4119,-89.6963,DJI_0151.JPG_1_9_36.4119_-89.6963.tiff,13.068938,335.4074,25.664473
36.4119,-89.6963,DJI_0151.JPG_1_10_36.4119_-89.6963.tiff,13.6035795,284.2797,20.897419
36.4119,-89.6963,DJI_0151.JPG_1_11_36.4119_-89.6963.tiff,10.801203,240.2664,22.244411
36.4119,-89.6963,DJI_0151.JPG_2_3_36.4119_-89.6963.tiff,12.199914,340.34183,27.897068
36.4119,-89.6963,DJI_0151.JPG_2_4_36.4119_-89.6963.tiff,12.236825,322.02396,26.315973
36.4119,-89.6963,DJI_0151.JPG_2_5_36.4119_-89.6963.tiff,10.826669,276.05316,25.497517
36.4119,-89.6963,DJI_0151.JPG_2_6_36.4119_-89.6963.tiff,11.115878,241.81583,21.754091
36.4119,-89.6963,DJI_0151.JPG_2_7_36.4119_-89.6963.tiff,13.106235,300.51672,22.929295
36.4119,-89.6963,DJI_0151.JPG_2_8_36.4119_-89.6963.tiff,11.009021,234.33623,21.285837
36.4119,-89.6963,DJI_0151.JPG_2_9_36.4119_-89.6963.tiff,13.720706,397.63263,28.980478
36.4119,-89.6963,DJI_0151.JPG_2_10_36.4119_-89.6963.tiff,11.586555,284.3753,24.54356
36.4119,-89.6963,DJI_0151.JPG_2_11_36.4119_-89.6963.tiff,13.565855,370.41016,27.304594
36.412,-89.6963,DJI_0152.JPG_-2_3_36.412_-89.6963.tiff,13.679856,315.84662,23.088446
36.412,-89.6963,DJI_0152.JPG_-2_4_36.412_-89.6963.tiff,12.143947,323.0556,26.602192
36.412,-89.6963,DJI_0152.JPG_-2_5_36.412_-89.6963.tiff,12.65182,342.887,27.101791
36.412,-89.6963,DJI_0152.JPG_-2_6_36.412_-89.6963.tiff,13.385123,387.89304,28.979414
36.412,-89.6963,DJI_0152.JPG_-2_7_36.412_-89.6963.tiff,11.807881,292.31955,24.756308
36.412,-89.6963,DJI_0152.JPG_-2_8_36.412_-89.6963.tiff,11.127271,287.46304,25.834103
36.412,-89.6963,DJI_0152.JPG_-2_9_36.412_-89.6963.tiff,13.74537,374.1473,27.21988
36.412,-89.6963,DJI_0152.JPG_-2_10_36.412_-89.6963.tiff,10.720117,311.4734,29.055037
36.412,-89.6963,DJI_0152.JPG_-2_11_36.412_-89.6963.tiff,10.953084,328.95877,30.033438
36.412,-89.6963,DJI_0152.JPG_-1_3_36.412_-89.6963.tiff,13.798451,344.40018,24.959335
36.412,-89.6963,DJI_0152.JPG_-1_4_36.412_-89.6963.tiff,13.46548,329.153,24.44421
36.412,-89.6963,DJI_0152.JPG_-1_5_36.412_-89.6963.tiff,13.270265,319.35785,24.065674
36.412,-89.6963,DJI_0152.JPG_-1_6_36.412_-89.6963.tiff,12.02111,279.99515,23.291956
36.412,-89.6963,DJI_0152.JPG_-1_7_36.412_-89.6963.tiff,11.601123,260.34225,22.441126
36.412,-89.6963,DJI_0152.JPG_-1_8_36.412_-89.6963.tiff,11.45259,313.50415,27.374083
36.412,-89.6963,DJI_0152.JPG_-1_9_36.412_-89.6963.tiff,13.369189,364.21634,27.242964
36.412,-89.6963,DJI_0152.JPG_-1_10_36.412_-89.6963.tiff,11.352443,300.71088,26.48865
